image_sha256,filename,relative_path,class_name,canonicalizer_version,canonicalizer_callable,review_status,issue_tags,review_notes,reviewed_at_utc
110ea7b3d07cbfcb4089c41ce996b23c0fd41c095fd57174b7212105587e3b9a,coat_003.png,coat\coat_003.png,coat,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,a foto original foi recortada indevidamente,2026-09-08T01:51:25.370581+00:00
9e799b592802807e935848ea1d3754f5bf2f37218c1dcc05b997ae261bc70e7b,coat_004.png,coat\coat_004.png,coat,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,,a foto original foi recortada indevidamente,2026-09-08T01:52:02.743139+00:00
095865135aa3ced6efee5ccf40ba0ca3e2f44d1c39fd473e2ece63c97f8043cf,dress_001.png,dress\dress_001.png,dress,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,a foto original foi recortada indevidamente,2026-09-08T01:52:27.099171+00:00
23376393ccdf45b05d6e253cb3e92039e2c8abc51e4a5b0959e670f9582a8772,dress_002.png,dress\dress_002.png,dress,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,a foto original foi recortada indevidamente,2026-09-08T01:52:48.200668+00:00
3ac6e0f5744f7db81648723a1c23df3a9813ecb8fdb71e9062d0bdf9d24d2304,dress_003.png,dress\dress_003.png,dress,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,,a foto original foi recortada indevidamente,2026-09-08T01:53:16.885524+00:00
8926c5b6bd1515f297bbcc20852f0cbda98dab7fe4bd9c72ac26d80563d89c89,dress_004.png,dress\dress_004.png,dress,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,aspect_ratio_distortion,a foto original foi recortada indevidamente,2026-09-08T01:53:41.309249+00:00
38cef2a3a480b4a0cfd6937bbf12d8854ad20ea4310822302b5efe547aa6291b,pullover_001.png,pullover\pullover_001.png,pullover,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:54:00.708076+00:00
3d3b54c054dedfaae48be9db81255a9fba9ce132d8f203b49c6087ba5e897c3a,pullover_002.png,pullover\pullover_002.png,pullover,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:54:16.911855+00:00
b5107d8eddbb3d6ab79bcbf0488c5ef164b4537f613bd7c487cb3e6359402a5e,pullover_003.png,pullover\pullover_003.png,pullover,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:55:36.292694+00:00
c00d1e244b1da6f49cbb5bfc8e4883e3df9ff9b0fed6241ea7899efcbf75dcd6,pullover_004.png,pullover\pullover_004.png,pullover,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T01:56:03.798329+00:00
2688581f0defe0bd5f9c0706c5020917945f65c6aedd056f1b0fd31d76096d97,sandal_001.png,sandal\sandal_001.png,sandal,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:57:20.938644+00:00
b51d83982d5234ce5f38890bfd71cde49e65fb409ae4739f285c02d0e399eb5a,sandal_002.png,sandal\sandal_002.png,sandal,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:58:25.407337+00:00
67e5e1bc2a437c5f4cc36b3325870bd278760c8d3bf625c3d0a0b101b0091cef,sandal_003.png,sandal\sandal_003.png,sandal,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:58:43.170720+00:00
0db255958dfface1be2c82ea953993a664eececf0376a71db509c845127381bf,sandal_004.png,sandal\sandal_004.png,sandal,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:58:58.811369+00:00
95e45e67ee191cd1960a9ec6b3b0a51675add5b8810585a939e92955fe79c711,shirt_001.png,shirt\shirt_001.png,shirt,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:59:31.302994+00:00
7d60d1aa59449627859b14abb1b55a11ede8787717669fabc542d130fa6aefe3,shirt_002.png,shirt\shirt_002.png,shirt,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T01:59:48.087459+00:00
fd897a79043fa3c20d34f9cb1e991d6a74510d921a4a3b5afa95060fe1f417b5,shirt_003.png,shirt\shirt_003.png,shirt,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:00:03.791559+00:00
f78e3d12c5f58341deb69cdf446ec19ebad206db216440d25271a99d477de64b,shirt_004.png,shirt\shirt_004.png,shirt,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:00:23.207973+00:00
fd7959825cf32c741e91694822aa435fb94a5ace182d9f478eb9430ecd57209c,sneaker_001.png,sneaker\sneaker_001.png,sneaker,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:00:43.824066+00:00
560ee7c9489997f9526f39ac1bfd8a386cbc7e8aac37bf3453972b4da1554785,sneaker_002.png,sneaker\sneaker_002.png,sneaker,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:01:10.165542+00:00
56d6db696b7b73313c7cfdb2a5c5c9707356f7d1b3b6228a517aeab05c8e7813,sneaker_003.png,sneaker\sneaker_003.png,sneaker,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:01:49.030111+00:00
6a0bdeaef1bea06790c24dd9545bcdbac473fa45d33b2754a3829eae8903ef38,sneaker_004.png,sneaker\sneaker_004.png,sneaker,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:02:05.413037+00:00
659133e55c0b78a6a7e8e9b417336f88d72b57c148d79a29f7d55c8ebe8016f7,trouser_001.png,trouser\trouser_001.png,trouser,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:02:31.685375+00:00
5d725e2c28d0c7dfc2e0a1e16dd25faa6385c000c13ae430c8e4576c05cc9116,trouser_002.png,trouser\trouser_002.png,trouser,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:02:47.800216+00:00
a9cf4e72f19297acad940adb677bd738798a96157e3ba6f65e070756c035586e,trouser_003.png,trouser\trouser_003.png,trouser,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:03:13.038986+00:00
5137041f9d30ac532b41b700cbe5d7d43c6a2cfdbcb72522ed1b6e0ff4169aed,trouser_004.png,trouser\trouser_004.png,trouser,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,foreground_cut,,2026-09-08T02:03:55.427080+00:00
afd5f157e6d261a2080e03c733c7b9fb7a8e42a141cd72eccb583a46a1cfafba,tshirt_top_001.png,tshirt_top\tshirt_top_001.png,tshirt_top,v2,src.domain_shift.canonicalizer.canonicalize_image,FAIL,contrast_problem,,2026-09-08T02:04:39.906943+00:00
03d471137fd913c4760faefd9aefee3261d94f851299d905e96789afa82fa4fe,tshirt_top_002.png,tshirt_top\tshirt_top_002.png,tshirt_top,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T02:05:04.941219+00:00
177344686e9620eba7af14ecbda5d039ec8f527772c020472a5c838cf4b277d8,tshirt_top_003.png,tshirt_top\tshirt_top_003.png,tshirt_top,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T02:05:21.239762+00:00
33f150f1eb7f0bf7b1bf312f2632d8c826826f2b6ad85319ee4a66b474d79cc4,tshirt_top_004.png,tshirt_top\tshirt_top_004.png,tshirt_top,v2,src.domain_shift.canonicalizer.canonicalize_image,PASS,,,2026-09-08T02:05:37.699973+00:00
